embeddings	accuracy	precision_macro	recall_macro	f1_score_macro	f1_score_micro
glove	0.634033 (0.0070)	0.634895 (0.0075)	0.638656 (0.0069)	0.633995 (0.0069)	0.634033 (0.0070)
ewe_uni	0.634398 (0.0073)	0.635806 (0.0074)	0.638974 (0.0072)	0.635532 (0.0074)	0.634398 (0.0073)
sawe-100	0.630109 (0.0069)	0.632984 (0.0068)	0.635264 (0.0068)	0.630713 (0.0067)	0.630109 (0.0069)
sota	0.628741 (0.0092)	0.631155 (0.0104)	0.633941 (0.0089)	0.628559 (0.0090)	0.628741 (0.0092)
senti_embeddings	0.648084 (0.0095)	0.649609 (0.0100)	0.652949 (0.0093)	0.648336 (0.0097)	0.648084 (0.0095)
