embeddings	accuracy	precision_macro	recall_macro	f1_score_macro	f1_score_micro
glove	0.296679 (0.0274)	0.529579 (0.0112)	0.828493 (0.0156)	0.639077 (0.0072)	0.652307 (0.0067)
ewe_uni	0.280194 (0.0224)	0.525849 (0.0088)	0.841284 (0.0117)	0.640351 (0.0071)	0.653919 (0.0067)
sawe-100	0.283336 (0.0353)	0.522601 (0.0086)	0.829791 (0.0197)	0.635355 (0.0057)	0.649283 (0.0054)
sota	0.296345 (0.0205)	0.525356 (0.0051)	0.819484 (0.0060)	0.634284 (0.0056)	0.649460 (0.0054)
senti_embeddings	0.306447 (0.0323)	0.532134 (0.0079)	0.827117 (0.0125)	0.639791 (0.0073)	0.653200 (0.0068)
